,"name","boundaryType","validTime","leftPlateId","rightPlateId","reconstructionPlateId","points"
429,"Penobscot barckarc","MidOceanRidge","{'beginMa': 490.0, 'endMa': 485.1}",1018,108,,"{-43.2524004321,132.6188318809},{-42.7436665412,133.7236337436},{-43.7133682029,134.5852854442},{-43.6074530596,134.9403011575},{-44.8539965651,135.9724250089},{-44.5213123282,136.7809085862},{-46.523754814,138.8501108401},{-46.386909468,139.2581714608},{-50.7132886278,143.7063504477},{-50.3610952913,144.3358222482},{-53.9632559254,148.9569946455},{-53.5626971837,149.6382979843},{-57.6920397774,156.1285241578},{-58.0344602889,155.5566863369},{-60.3233529891,160.335526564},{-60.7315739962,159.6594999295}"
430,"Iapetus Ridge","MidOceanRidge","{'beginMa': 500.0, 'endMa': 490.1}",173,302,,"{29.378324423,-13.5718686007},{35.9052993774,-8.8405052582},{36.2837365146,-9.3167229399},{40.1615832245,-5.9253032469},{40.9427138784,-7.1572056647},{43.8726049722,-4.3092132077},{44.3933823896,-5.1248053542},{47.5683876302,-0.9268126768}"
431,,"MidOceanRidge","{'beginMa': 480.0, 'endMa': 475.1}",302,101,,"{50.3405821759,-50.5787912813},{50.4560225829,-45.6807017446},{49.6152712053,-45.6388680307},{49.5972808001,-42.2893964335},{48.6850260487,-42.1231923174},{48.6102197432,-38.9320714308},{47.5077581847,-38.6460055677},{47.6731838214,-35.2624312533},{46.5768790994,-34.9649275092},{46.5890374987,-32.1576490765},{45.323172711,-31.9177163706},{45.4336990101,-29.3339170465},{44.3870028258,-29.0854306274},{44.6552856311,-26.141146463},{43.2722173,-25.8871832295},{43.528437834,-23.2014315012},{42.3032941068,-22.9244885085},{42.4660990949,-20.5644460424},{41.4247197849,-20.3558579301},{41.766803142,-17.4466499955},{40.7899342975,-17.1537632927},{40.8746666179,-16.170254774100002},{39.4577944728,-15.876869171},{39.6729928581,-13.1345045055},{38.6446751136,-12.9730331486},{38.8084449987,-10.1413943161},{37.5412670903,-9.8765020372},{37.6488410738,-7.9603962604}"
432,"Panthalassa","MidOceanRidge","{'beginMa': 430.0, 'endMa': 410.1}",902,919,,"{-42.386359854,-174.1176059269},{-56.5903263347,-131.3891281451},{-60.8395491878,-132.9477300689},{-58.8996843029,-99.2201004972},{-66.2914925246,-91.1156296447},{-61.0597253465,-75.7092844493},{-67.0484322306,-56.4980319267},{-56.4390872069,-45.7276037735},{-56.7326896275,-43.7940320032},{-39.9313237515,-36.3555000799},{-39.6535032312,-37.6464814304},{-24.6399813948,-33.1793806091},{-24.823612234,-32.1771355666},{-7.2027681914,-29.2645478102}"
433,"Panthalassa","MidOceanRidge","{'beginMa': 450.0, 'endMa': 410.1}",919,926,,"{41.8785536601,36.9044005358},{50.3587422456,-42.1640878715},{53.5916224997,-43.8633323878},{11.8770943414,-93.1261614489}"
434,"Laurentia-Baltica MOR","MidOceanRidge","{'beginMa': 590.0, 'endMa': 560.1}",101,302,,"{38.4312704993,-54.1345329662},{51.7165616026,-42.84761057},{50.6712178907,-39.8428087575},{55.2658442933,-33.4557350453},{55.5164152555,-33.9751185831},{58.0176392859,-29.8686639003},{58.3134259754,-30.5238064108},{60.1109886029,-26.982499725},{62.0519701882,-30.6521882392},{64.0304035457,-25.8160066801},{65.7061490817,-28.1312369061},{67.2570036537,-30.3312084055},{69.6324138776,-17.1582255626},{70.7236433348,-18.0982164691},{71.9714584605,-18.1285765697},{72.8014049368,-1.6756665697000002},{73.9807025286,-1.31513182},{72.5058793378,19.4638043573},{74.2331795422,22.3892202714},{71.2714753059,36.7375190782}"
435,"Siberia-Baltica Ridge","MidOceanRidge","{'beginMa': 560.0, 'endMa': 520.1}",401,302,,"{87.60973801,-134.0578710955},{84.6561699347,58.3070064235},{75.3013141123,61.9717278011},{73.8094603773,72.270107687},{67.7691230483,67.9034728155},{62.3619674929,63.8469067307},{58.9153480677,74.5005408569},{55.5190706369,71.4011353076},{52.3120046565,67.944982291},{50.7600749847,71.8146775083},{47.8208806979,68.2930728131},{46.0767462648,71.8012639581},{43.9332682123,68.9244693906},{41.3974894219,71.5905191997},{38.2177918844,66.8291146404},{35.5614111958,69.5047965881},{31.0287527502,64.2629536203},{27.7695877967,58.0577909621},{19.2975645014,67.5542313633}"
436,"Siberia-Laurentia MOR","MidOceanRidge","{'beginMa': 550.0, 'endMa': 520.1}",401,101,,"{52.6449437402,-177.0880225026},{60.1003488116,-178.7114148971},{59.9348356163,-176.6357341249},{64.6910122373,-177.8387867891},{65.2782426902,-173.0103021313},{75.7615629988,175.9500178062},{76.9959197892,-174.1005342293},{83.6183088463,157.6183101393},{85.4166407556,-175.0090918724},{87.80435517,100.9920561909},{88.6354550895,-5.1013201155},{83.1413294571,16.197731782},{80.7423990339,-13.0976460441},{72.4408695961,9.5991986761}"
437,"MoR","MidOceanRidge","{'beginMa': 615.0, 'endMa': 600.1}",401,101,,"{80.4042142749,-103.5253756496},{67.4275894257,147.0837400071},{65.679630188,154.5967580743},{46.4321058537,138.6897706162},{45.1634965924,143.0856302064},{31.6418065629,136.9971117388}"
438,"Congo-Rodinia MOR","MidOceanRidge","{'beginMa': 750.0, 'endMa': 700.1}",701,77030,,"{-29.5782431664,-25.6413463302},{-26.4956334834,-18.2849461451},{-28.0929725816,-17.0468827123},{-26.279587088,-10.306719427200001},{-27.7375318731,-9.6270546375},{-27.0357753306,-5.5786482162},{-29.0409971416,-4.68313915},{-26.8546506207,1.5517300894},{-28.8725220731,2.7867473254},{-28.219001136,4.0674091008},{-41.7251610912,14.9069503654},{-40.4202500737,17.674471954},{-42.7546135138,20.4203718925},{-35.1954722617,32.2472879631},{-38.1150507982,35.8393773867}"
439,"Australia-Antarctica-Laurentia MOR","MidOceanRidge","{'beginMa': 800.0, 'endMa': 750.1}",101,801,,"{54.2997448502,153.873233112},{54.3544445166,166.4022215256},{56.6457905597,167.2476176671},{53.9201824405,-178.9496336946},{56.6119972843,-176.9260507708},{51.5553331324,-162.6172537295},{55.2434140899,-157.9269662175},{48.0710750465,-145.54239558},{49.3025773606,-142.4758845461},{40.3041982397,-132.7801475865},{40.036718256,-133.471322062},{30.1823931356,-127.1400839854},{30.2627923836,-126.0865824498},{27.2117427097,-124.2094954394},{28.0753051253,-118.4361464538},{26.8436438773,-117.8277487355},{27.4353583063,-107.0825898555},{26.3627698416,-106.8631845685},{26.1635868678,-104.4683113067},{22.7605469033,-104.4094742454},{22.005522347,-110.6784139838},{15.0761635319,-110.2922144758},{2.7376023295,-107.3639691213},{2.7828614831,-106.2155620307},{-4.9040411116,-103.6426922676}"
440,"Amazonia-WAC ridge","MidOceanRidge","{'beginMa': 850.0, 'endMa': 768.1}",201,714,,"{-1.6501853883000002,-23.9475349547},{-2.461668465,-30.4165354239},{-2.6004357833,-35.6035711002},{9.873317031300001,-37.1156305639},{8.5961223572,-43.6100548981},{12.6604087791,-44.4041775591},{11.6217035201,-48.7627880612},{14.3371283007,-49.6018381791},{13.8023061148,-52.7849845624},{16.1385899023,-53.5709715118},{15.5971629381,-55.4251888684},{19.5129576176,-57.3196745088},{18.4963967949,-59.767406958}"
441,"MoR","MidOceanRidge","{'beginMa': 550.0, 'endMa': 545.1}",456,580,,"{42.9013476233,83.6171481409},{43.708600721,88.8981276854},{43.2649720947,89.1336501386},{43.6478339936,91.9109562018},{42.9928835236,92.2052727418},{43.3003612598,94.1993483694},{42.8479861497,94.3498650147},{43.1238201815,96.3450498835}"
442,"SC-India MOR","MidOceanRidge","{'beginMa': 550.0, 'endMa': 490.1}",501,602,,"{30.4804144517,100.9925241925},{31.4871157889,99.059777644},{34.3327860128,90.8556202149},{32.765798542,89.2207681204},{34.3724369018,85.6337982191},{33.6215081501,85.1310921322},{36.5842394145,79.0491714957},{36.8981757437,79.3428268845},{38.512340974,73.898180243},{37.5192936269,72.8079356651},{38.7767974029,69.8808247554},{37.9217646629,69.2534260666},{39.3732448734,65.8650650378},{38.5964228077,65.2687096088},{40.2903302689,59.7901017052}"
443,"Kunlun-Gondwana MOR","MidOceanRidge","{'beginMa': 530.0, 'endMa': 480.1}",457,505,,"{36.1336904179,65.4934235903},{37.1547908901,68.6312413791},{37.7307342994,70.7900184173},{33.8412011612,71.7561895042},{34.1040382587,73.1469264679},{33.3090004865,73.5472818572},{33.2728765773,74.3036094096},{32.5742057809,74.7258226644},{32.6362728691,75.2222685289},{32.0391652986,75.5347866963},{32.1844984624,76.2458636136},{31.1484334967,76.847998335},{31.4389285783,78.1219839685},{29.4233265304,79.2745603916},{29.882031914,80.7577082232},{30.4684370367,82.2800819701},{29.5735043278,82.8715457892},{29.8057416021,83.5998595571},{27.8760027736,84.7014620208},{28.3545935441,85.6621521322},{26.6055072234,86.8174352217},{27.06438049,87.6239617581},{24.7427179289,89.2745327926},{25.3947203653,90.3546826156},{23.6954662642,91.6738500618},{24.6809411539,93.315564818},{22.546359511,94.9401150209},{23.0844717323,95.9036948869},{21.1290531862,97.6079685833}"
444,"ANS MOR","MidOceanRidge","{'beginMa': 750.0, 'endMa': 725.1}",5906,5916,,"{33.5563936826,34.9401885905},{32.9292905708,33.8240481279},{32.6261178634,34.0359231048},{31.863871825,32.6849935612},{31.6022337312,32.8858611569},{30.6334300431,30.8236605679},{30.2752438879,31.085098943},{28.7163746383,27.8921435409},{28.0564024863,28.2717060333},{25.7081273489,23.2516387713},{21.0959982645,26.2943656815},{19.5403681107,22.6985350922},{16.9511830981,24.2502457868},{15.1147988391,20.6799529186},{13.5020505311,21.6167500614},{11.231846287,17.1369328909}"
445,"ANS-Azania MOR","MidOceanRidge","{'beginMa': 750.0, 'endMa': 700.1}",5032,5914,,"{29.1957237227,74.3444463419},{27.3373548334,65.1963052218},{28.3649183773,64.8476604963},{22.0109148296,48.9262799259},{24.0811861773,48.0392073327},{21.4054243111,42.3860946426},{20.7104670901,42.672166206},{17.6588484696,36.0550873397},{16.8753930919,36.5693953662},{13.6107027284,30.3568811399}"
446,"ANS ridge","MidOceanRidge","{'beginMa': 780.0, 'endMa': 750.1}",5906,5916,,"{31.3184959887,43.246473694},{29.093939827,41.4893518601},{31.7069609583,38.0195891428},{30.841856731100002,37.0959004763},{33.0204117896,34.4914211474},{29.9402752151,31.5167858461},{26.6354038372,29.1561568499},{23.7445241138,33.2310136958},{18.9824151535,29.6820990226},{14.3365882373,26.9437312139},{13.3151619637,28.7119311442},{9.2170314999,26.4854144884},{4.8254490006,24.7954719391},{3.9073922221,26.5652412941},{1.5062081334,25.5968558111},{0.5951300589,27.4710220918},{-1.9075085767000002,26.4666299996}"
447,"Azania-ANS MOR","MidOceanRidge","{'beginMa': 850.0, 'endMa': 800.1}",5031,5032,,"{9.5499561684,22.2467021725},{11.7598769815,23.9002701139},{10.8055042106,25.0211613386},{13.9065631652,27.5529844195},{11.7505809861,30.6249427628},{14.1872769698,32.7463018672},{12.6185557008,34.6601494922},{14.6676765865,36.1404089937},{13.2123272576,37.9138613554},{15.6146714688,39.9685596033}"
448,"mor","MidOceanRidge","{'beginMa': 800.0, 'endMa': 780.1}",77531,77521,,"{6.6264155092,58.9015290772},{7.1454596324,47.3113535006},{8.9274523749,47.3021821613},{8.5151374179,40.4328109337},{9.185420622,40.3294789467},{8.6873675728,33.8731766627},{8.7379604483,32.7831646993}"
449,"Tarim-Lut MOR","MidOceanRidge","{'beginMa': 720.0, 'endMa': 585.1}",580,505,,"{37.7356779656,131.210085461},{42.0653126574,133.063180335},{46.0296823657,119.9590867378},{48.5198335649,121.2137237166},{49.7352910839,97.6517615657},{48.6982601107,97.0267254598},{47.0617725992,84.8119949783},{46.00540561,85.4867289057},{44.6592176294,77.1215666704},{45.3124260938,76.8515294874},{43.9462452315,71.0036584254},{43.1650376543,71.5118609255},{41.3092075072,64.5231754062},{45.1932215261,59.6251168201}"
450,"India-SM MoR","MidOceanRidge","{'beginMa': 1000.0, 'endMa': 930.1}",501,715,,"{16.718099496,45.8910718336},{7.0183260978,47.3488557885},{7.3864528162,49.7818316066},{2.7020242546,50.5935360662},{3.4047429481,54.4365892596},{-2.1049980019,55.3895559057},{-1.9744624538000002,56.9986110546},{-6.5837483351,57.8886739449},{-6.325561021,59.5972384831},{-9.8361635218,60.2156633104},{-9.3040065344,62.9351755419},{-11.0670505723,63.413128932},{-10.280496339,66.7235659121},{-12.978593383,67.4695570475},{-11.8441672819,71.4350885698},{-16.5250398582,72.8113783997},{-15.4817434971,75.5297231807},{-19.8786535604,77.5563305176}"
451,"PEAL-SF MoR","MidOceanRidge","{'beginMa': 1000.0, 'endMa': 950.1}",206,22056,,"{-9.7646742391,-36.9296731789},{-9.6519832391,-38.6054562247},{-8.9340754273,-38.4635822042},{-8.8484921352,-39.3730679878},{-6.8786049463,-38.996534882},{-6.8658361697,-39.7590148256},{-5.0389656144,-39.4177178129},{-4.8637677418,-41.8584485722},{-3.6528117873,-41.5635323573},{-3.352562562,-44.6498555694},{-2.0090958343,-44.420157566},{-1.0308699195,-50.4523943299}"
452,"SF-Congo MOR","MidOceanRidge","{'beginMa': 1000.0, 'endMa': 870.1}",206,701,,"{-31.3880793738,-54.0680750721},{-28.7206292676,-49.2448213766},{-28.1434276162,-49.6988813946},{-26.581682171,-46.82013511},{-26.0712326135,-47.2404561099},{-24.610258305,-44.8624626262},{-23.510171239800002,-45.6531824688},{-22.5011634734,-43.7432992631},{-21.9131475135,-44.0861560779},{-21.2981629944,-42.909876001},{-20.6545454797,-43.3406138345},{-20.1897884673,-42.5364644164},{-19.581450361,-42.8695338327},{-19.0419758193,-41.6498359458},{-17.7334505758,-42.2736217667},{-17.2030049513,-41.168385923},{-15.994452088100001,-41.572009239},{-15.6685062994,-40.8128488672},{-14.9584941954,-40.9709384382},{-14.727345701499999,-40.1664171582},{-12.8993731426,-40.157742256},{-12.8955627092,-39.6786359716},{-11.794202468,-39.5022738276},{-11.8094711587,-38.4878846182},{-11.8546718983,-37.9673250772}"
453,"PEAL-Congo MoR","MidOceanRidge","{'beginMa': 1000.0, 'endMa': 950.1}",22056,701,,"{-14.6105516736,-31.6550112252},{-14.7575627952,-31.2447280127},{-12.7751130804,-30.1164355245},{-12.9133939442,-29.7343675495},{-10.9176423574,-28.6256301909},{-11.1784356864,-28.0749458751},{-8.8895439046,-26.8933779005},{-9.1887311961,-25.8781015132},{-7.9613068258,-25.2768536784},{-9.3413462419,-20.3644785635}"
454,"Ruker-Sinai MoR","MidOceanRidge","{'beginMa': 940.0, 'endMa': 930.1}",8031,508,,"{-62.9812731319,-172.1784221367},{-71.9377054263,-175.319760231},{-72.1270998542,-162.9907036637},{-85.0371887663,-164.0666033599},{-85.0042024496,-136.3051600144},{-88.0559161141,-59.1639327396},{-86.7260904082,-65.7139823463},{-80.0538743671,3.6431501904},{-79.772608738,-2.1190170477},{-64.7498448746,13.6101669337}"
455,"Mawson Sea MOR","MidOceanRidge","{'beginMa': 930.0, 'endMa': 900.1}",8031,5032,,"{-52.435861789,-48.2325799523},{-55.6675784269,-62.6483331239},{-53.5409068796,-64.0536029219},{-54.5519690167,-71.2765023768},{-52.7005389261,-72.259568605},{-53.7895224304,-83.3464174765},{-54.6311777758,-82.7339311828},{-54.143591291,-111.3687728321}"
456,"Mirovoi MOR","MidOceanRidge","{'beginMa': 900.0, 'endMa': 850.1}",98041,580,,"{-17.7076324616,27.3652518455},{-35.3916069974,10.4537568891},{-38.7102390326,13.4830479986},{-49.7551172686,-8.4195747379},{-48.4542510489,-10.4820887113},{-54.334441542,-38.6740195568}"
457,"Mirovoi MOR","MidOceanRidge","{'beginMa': 930.0, 'endMa': 870.1}",505,9804,,"{53.5570061112,-172.9767809532},{81.9624061859,175.2447108827},{82.0132125039,163.7250696057},{76.1734038917,22.9575493399},{73.8758445363,35.2439791423},{56.6040504323,24.2827840859},{53.1761604765,36.3738233},{39.958040989,28.552467847},{37.381765912,34.1096573471},{20.1672855354,26.4984618286},{18.3917340618,29.3759394118},{7.3827009922,23.7746164906},{1.466810379,41.1340211665}"
458,"Mirovoi MOR","MidOceanRidge","{'beginMa': 940.0, 'endMa': 870.1}",98041,9804,,"{-24.5799278562,77.8630977357},{-34.2383848646,51.58208387},{-32.2256222972,51.1278442137},{-33.7047193235,29.8720887955},{-30.0134666293,29.5060573767},{-25.4731419636,-2.7985665527},{-20.4897350295,-1.6243995797},{-14.5485621136,-20.1274455942}"
459,"Mirovoi MOR","MidOceanRidge","{'beginMa': 1000.0, 'endMa': 930.1}",580,9804,,"{27.299737645,135.0657290662},{48.842025584,139.2218419656},{49.56105585,132.1851686775},{65.0431315606,137.0065340991},{65.6013139618,132.9899194816},{80.628427166,142.7432299793},{81.2674756818,131.6718331866},{82.91488727710001,-49.1173824023}"
460,"MoR","MidOceanRidge","{'beginMa': 870.0, 'endMa': 850.1}",501,715,,"{30.4954473101,-4.9175206101},{25.1560915457,3.3607662066},{27.2857083885,5.1739889742},{22.051249128,11.6975355166},{24.5120909747,14.5644756719},{16.9025586416,22.3881728387},{18.7452316461,24.8016818357},{7.7246662819,34.8278757253},{9.4499533557,36.7369203201},{-16.2316842339,61.0319630608},{-15.1136718086,62.5000962939},{-40.8980212612,104.0948483164}"
461,"MoR","MidOceanRidge","{'beginMa': 870.0, 'endMa': 850.1}",580,77145,,"{0.4411443497,160.2739358562},{14.5965077574,155.2211219349},{44.7894321833,138.8011381337},{43.6254333786,136.2316949604},{56.9997404643,125.6517780208},{55.5984665746,120.0855055865},{66.9492525299,99.2212518508},{64.6384111277,91.0584682974},{69.5980675795,52.7925204134}"
462,"Mirovoi MOR","MidOceanRidge","{'beginMa': 870.0, 'endMa': 850.1}",98041,9804,,"{-40.6059148144,41.7414897096},{-39.5588669497,18.0157630451},{-36.9304577028,18.5563474778},{-13.0418112843,-22.7343762413},{-15.2346470848,-24.6280523686},{4.230612292,-48.1580268611}"
463,"Remnant Mirovoi Ridge separating India-SM","MidOceanRidge","{'beginMa': 850.0, 'endMa': 820.1}",505,715,,"{54.0789992633,61.0104497173},{36.3423367245,33.6794124248},{30.4622811238,39.306340025},{9.9675987615,24.912450754},{7.6087302913,29.4710254546},{-8.3053867233,20.4696093686},{-9.0648402913,21.907597805},{-22.1579919687,13.6650381512},{-21.2969752157,12.0262697712},{-35.1412159582,0.6374040472},{-38.0845182281,-2.5648469017}"
464,"Tarim MoR","MidOceanRidge","{'beginMa': 850.0, 'endMa': 800.1}",580,98041,,"{1.4372683766,46.5064001549},{9.9173289192,59.5336079571},{13.4871405735,64.9792851639},{16.2989153107,69.2382542883},{0.38523255040000004,81.0708033554},{3.0195084591,85.2051070802},{7.3899165173,92.1712925421},{-11.2076475655,104.562544204},{-10.7136072341,105.1370237819},{-6.0156301928,112.2947454269},{-15.8683523652,119.483712051}"
465,"Panthalassa","MidOceanRidge","{'beginMa': 450.0, 'endMa': 430.1}",926,902,,"{-14.9646514019,162.3130694314},{-7.6476403223,-160.6033985636},{-4.874904496,-161.3021934119},{1.6069621018,-135.8550563179},{4.2877480407,-136.2556289936},{13.2464253494,-92.5977349142},{11.3473424655,-92.2278286278},{12.0335999211,-67.1673679335},{9.6928562216,-66.7939422133},{8.6986744507,-47.4526212638},{7.5692567416,-47.9234793876},{4.2424992396,-33.1567273204}"
466,"Laurentia-Rheic Ridge","MidOceanRidge","{'beginMa': 440.0, 'endMa': 430.1}",9019,101,,"{-20.795076918,-124.0546819623},{-29.6842292041,-130.3699572762},{-30.4707642949,-129.1404623893},{-35.9204290572,-135.0425150762},{-36.4469791731,-134.4223751095},{-40.56054134,-139.2492491284},{-41.6153192292,-137.7449625636},{-45.7199308837,-142.6499573189},{-47.4713429686,-140.3009458488},{-49.3700612805,-142.2098745501},{-51.217218447,-139.5699870864},{-51.9908447379,-140.9101488638},{-54.522163153,-145.9475990293}"
467,"Baltica-Gondwana Ridge","MidOceanRidge","{'beginMa': 440.0, 'endMa': 430.1}",302,701,,"{20.0148747499,11.4351855369},{17.6324171128,15.4667921602},{18.2065308393,15.8484933831},{15.5880705214,19.6152836237},{16.7695968859,20.317880655},{15.2863924562,22.5315533519},{15.7322212822,23.0723596934},{11.8681363647,28.8023766987},{12.7909358159,30.1031840237},{7.3866855328,36.3900922663},{8.6814571322,37.1306658846},{3.7183095122000003,44.1708527351},{5.4263281984,44.9757032942},{1.4213815134,51.5453019623},{2.834477165,52.7877969846},{-0.5723018219,58.1164395717},{2.174245461,60.298804835},{-1.3898023502,65.2191804987},{0.1105090116,65.8596011412},{-3.7848332745,70.9636245703}"
468,"Baltica-Proto-Tethys Ridge","MidOceanRidge","{'beginMa': 440.0, 'endMa': 435.1}",302,9019,,"{35.0073844609,35.7736247422},{30.1623915344,26.5410289603},{29.1098356354,27.6388741501},{23.5413058569,18.1057061394},{22.2454614315,19.044010013},{19.5975944761,14.1875874056},{19.0055899096,14.5479356368},{16.2686733313,10.5375373023},{15.5136278714,10.9252438571},{13.8484518064,8.421403168},{13.0813501389,8.9481520493},{11.2299629177,5.96702825}"
469,"Unnamed ridge between Baltica and Siberia plates","MidOceanRidge","{'beginMa': 490.0, 'endMa': 475.1}",302,401,,"{66.9029911209,0.5282176834},{65.031074629,-5.0484396182},{65.6689902138,-6.2445425914},{63.3922267377,-9.9534378131},{63.9839534885,-12.7159053769},{62.3012486829,-14.8342284854},{62.7424293683,-17.0184950466},{59.7380848595,-18.9465623226},{60.2813002351,-21.5136305897},{57.3928648575,-23.4802433547},{57.7536310171,-25.245469154},{54.6177734862,-26.8272730625},{54.8198751823,-28.147270979},{51.7470897259,-29.6959542153},{51.9665158326,-31.0670294048},{43.2759029674,-32.1775102163}"
470,"Southern Tianshan Ocean","MidOceanRidge","{'beginMa': 520.0, 'endMa': 500.1}",4661,580,,"{60.0708128309,50.7468130863},{54.494153042,56.6067347755},{53.625688621,54.556658703},{47.9030832664,60.0125698225},{47.1083347792,58.497821881},{41.0390342384,63.3433423594},{41.580762687,64.7269675521},{36.0361886625,69.9562128371}"
471,"Chu-Yili - North Tianshan Ocean","MidOceanRidge","{'beginMa': 550.0, 'endMa': 490.1}",460,459,,"{51.0266160406,46.941082067},{48.4916377193,59.2701920791},{47.7430262016,59.1251845796},{45.6338400684,66.410386158},{46.2223167474,66.9006109935},{43.9384321388,71.763230548},{43.1895608766,71.0087134917},{40.3430438806,77.6238146552},{41.6084104947,78.5972778645},{37.649797134,86.7376960922}"
472,"Tianshan Ocean","MidOceanRidge","{'beginMa': 550.0, 'endMa': 520.1}",459,501,,"{32.6688536167,41.5744567646},{35.3888594049,52.5855768349},{37.599731921,51.5404798901},{38.2786779627,65.8934930556},{38.1702653484,75.140654957},{39.7024137848,75.6613513101},{39.4856648832,79.5988499812},{41.580037315,80.0152382363},{41.5069059405,83.8644782754},{45.0373609167,84.3585399843},{44.2129993574,94.4755160393},{45.581933244,94.8643203551},{43.5231581586,105.818027444},{45.5853387066,107.4257238604},{44.0395981044,112.0958561302},{45.5468762061,113.6839762277},{42.7123840038,118.6909982081}"
473,"North China-Australia divergence","MidOceanRidge","{'beginMa': 650.0, 'endMa': 600.1}",601,8011,,"{19.1970788023,126.0327044118},{24.5993642614,129.7579397319},{25.2708059716,129.2178924468},{27.5403478864,131.455978155},{29.7613019217,130.7556149385},{30.5897415186,131.7550741566},{34.8187090971,129.6314219881},{35.9670048625,130.7784241963},{39.0133542417,128.3154454189},{44.9271446559,134.3854614958},{46.0491057533,132.2391882865},{53.2523161802,141.0944358157},{55.8166725039,145.2609535459}"
474,"Central Taimyr Back arc","MidOceanRidge","{'beginMa': 900.0, 'endMa': 800.1}",4012,401,,"{71.4539589897,79.7692805222},{73.011550576,87.3989558021},{72.6722080761,88.1056191558},{74.7734891049,120.6505769178},{75.3483015772,120.9072866672},{74.3327430783,137.1675827334}"
475,"Kara-Baltica MoR","MidOceanRidge","{'beginMa': 500.0, 'endMa': 490.1}",404,302,,"{83.9823097843,43.3791771343},{80.1103204916,60.6697600102},{80.041615306,59.8631766179},{77.2609820617,65.7706987425},{77.3846409831,67.0277889154},{74.4747171933,70.3248939008},{74.4044602757,69.5696516471},{71.5165855931,71.9586186945},{72.0869394818,84.6868811208},{68.5655549458,86.4667403303},{68.5100151547,93.576573618},{65.1870806723,93.93575757240001},{65.0787238991,91.2859500659},{56.7973854038,91.79289606}"
476,"Siberia-Baltica MoR","MidOceanRidge","{'beginMa': 510.0, 'endMa': 500.1}",401,302,,"{70.2427023031,59.4778996718},{67.6032254533,60.2349227381},{67.6750564209,63.2257856327},{65.2484184777,63.6243034058},{65.1289094832,64.8246875601},{62.7067154421,64.6699486007},{62.7016097198,64.9082794716},{61.1871311573,64.8605147018},{61.1805705986,65.1494248541},{56.6989368607,64.982724229},{56.6867550058,65.2525871941},{49.4890041293,65.0135097051},{49.4460409121,65.5280727269},{41.1814003998,64.8564597749}"
477,"Australia-North China MoR","MidOceanRidge","{'beginMa': 550.0, 'endMa': 520.1}",601,801,,"{18.0091469039,136.4128220649},{19.7535960108,133.8456868813},{21.7203706807,130.76082424},{22.4912668583,131.3457759239},{24.1103594404,129.0344663589},{25.8755313347,130.3050971936},{26.6100016336,129.0573568791},{27.975917522,130.0938228162},{28.2498215828,129.61582479610001},{31.2150801032,131.9478707583},{31.7739894538,131.1243664812},{34.0829904055,133.054701863},{35.0605639033,131.5276226899},{37.5594948588,133.8204795021},{38.8116183817,131.7860546106},{39.781347413,132.6412196002},{40.3612442469,131.588747683},{42.7330705578,133.7733257759},{45.3419741218,128.6381052391},{47.8007935671,130.9044904107},{51.114192358,122.8388848956},{49.9454345406,122.0540498812},{54.400143952,101.7174577603},{53.679089996,101.2291140333},{54.1975771229,96.624119454},{53.5546938401,96.5899441988},{53.7903305401,93.3272563963}"
478,"Alxa-Q/Q MoR","MidOceanRidge","{'beginMa': 530.0, 'endMa': 500.1}",451,456,,"{42.4279825986,90.482780588},{43.2076844075,94.8412107354},{40.2689180797,95.1922504246},{40.3378867187,96.6903230226},{39.9174322894,96.7567865293},{39.9294163007,97.78126076},{39.6067713399,97.84069742},{39.613702944799996,98.6640242081},{39.3832304217,98.6812321929},{39.3885976421,99.3682577671},{39.0889700868,99.4025486786},{39.0801510925,100.1317512153},{38.7686045689,100.1483495742},{38.7410599844,100.8010038584},{38.3240769814,100.8670474153},{38.2773731239,101.8359407514},{38.0056934218,101.8594131235},{37.9856853489,102.5038073447},{37.6825609738,102.5124673027},{37.5859299838,103.7041678243},{37.2637706579,103.6925756949},{37.0595265294,106.8489150747},{36.7287719354,106.805169235},{36.5617360303,109.2688210626},{35.6717665706,109.1474533373},{34.9362544876,112.2734795907},{34.5888189405,112.3070411692},{34.0283213466,115.4156903187},{33.4478384801,115.4683835282},{33.0143230034,119.5242875252},{32.1121312852,119.4154778821},{30.9721450613,125.1790174884},{31.5974800425,125.137309301},{31.304952243,129.2170566531}"
479,"Alxa-Q/Q MoR","MidOceanRidge","{'beginMa': 550.0, 'endMa': 545.1}",451,456,,"{39.9174322894,96.7567865293},{39.9294163007,97.78126076},{39.5939390445,97.7806972978},{39.613702944799996,98.6640242081},{39.3832304217,98.6812321929},{39.3885976421,99.3682577671},{39.0889700868,99.4025486786},{39.0801510925,100.1317512153},{38.7686045689,100.1483495742},{38.7410599844,100.8010038584},{38.3361758498,100.7893084948},{38.2773731239,101.8359407514},{38.0111171691,101.814535487},{37.9856853489,102.5038073447},{37.6733736441,102.4957062073},{37.5859299838,103.7041678243},{37.331166842,103.7411756175},{37.0155264523,106.0710118133},{36.5741251276,106.0522296215},{36.3294826648,108.7682156803},{35.9173181236,108.5975347573},{34.8323635081,112.8157701416}"
